teks,jenis
Pasar baru pusatnya kain \n Awas dompet jangan hilang \n Desa tempatnya bermain \n Bagai bolang berpetualang \n ,pantun
"Cinta yang dulu pernah kurengkuh. 
 Sekarang, lepas entah kemana. Tersisa sebuih kisah semu yang keras bak sebongkah batu. 
 Rasa sakit yang dulu pernah kurasa, kini telah pergi. 
 Bukan karna ada yang lain, tapi rasa sayang mengalahkannya. 
 Walau tanpanya, aku masih mampu berdiri dan menatap indahnya dunia. 
 Mungkin aku telah lama larut dalam kesendirian dan rasa cintaku seakan telah luntur dan larut dalam setetes air mata. 
 Tapi sebenarnya rasa cinta itu tersimpan dalam hati kecilku dan siap menunggu hari kebahagiaan di masa mendatang .. 
 Menangisinya hal yang harus aku buang jauh, 
 Membencinya bukan hal yang baik, 
 Mengenangnya hanya akan membuat luka yang sulit untuk aku pahami, 
 Menjadikannya sahabat mungkin itu akan lebih baik buat aku dan dia. 
  
 ",puisi
Sungguh indah kerajinan rotan \n Dibuat menarik oleh pengrajinnya \n Mari kita menjaga hutan \n Jangan sampai kita merusaknya \n ,pantun
"Rintik rintik turun hujan.., \n Masuk kamar sama teman.., \n Gadis cantik jadi pujaan.., \n Mau dilamar kok hamil duluan... \n ",pantun
"Apa tanda orang istana, \n semua barang selalu baru. \n Apa tanda tumbuh cinta, \n terasa di dada rasa cemburu \n ",pantun
"Pergi jalan-jalan, \n jam 11 harus balik. \n Ga ada penyesalan, \n kamulah yang terbaik. \n ",pantun
"Wanita malam jadi kenangan 
 Dalam suatu perjalanan 
 Bola matanya indah menggoda 
 Memberi rayuan tentang kemesraan 
  
 Sungguh murah kau tawarkan 
 Ternyata cukup uang recehan 
 Cuma sekedar untuk membeli jajanan 
  
 Pernah sesekali aku tanyakan 
 Mengapa tak kau tinggalkan hal demikian 
 Sebab itu kesia-siaan 
  
 Tak salah memang kau katakan 
 Kalau itu saling menguntungkan 
 Tetapi ada pihak yang dirugikan 
 Ibumu yang melahirkan 
  
 ",puisi
"Lentik lentur tanganmu saat berkenalan 
 Merduh senduh meneduh suaramu terucap 
 Evelin Namaku.. 
 Senyum Manis tipismu mengukir malu 
 Sampai terngiang dentuman Jantung berirama 
  
 Mata mulai memandang 
 Isyaratkan Segalanya 
 Bergetar dan memekar memaksa ku sadar 
 Oh evelyn, . 
 Jatuh cinta tak perlu Nama 
  
 ",puisi
"Aku berdiri menatap dari kejauhan 
 Memandangi seseorang yang sedang terbaring lemah 
 Menanti keajaiban datang kepadanya 
 Tak banyakku pinta 
 Hanya sembuhkan penyakitnyaTuhan... 
 Bukakan mata ayahku.. 
 Sembuhkanlah ia 
 Aku sangat menyayanginya 
 Tetapi jika Engkau berkehendak lain 
 Aku hanya bisa pasrah kepadamu 
 Tapi satu pinta ku Tuhannn.. 
 Jaga ayahku 
 Sayangi ayahku 
 Ampuni dosanya Ya Allah.. 
 Sekarang aku hanya bisa melihatnya dari kejauhan 
 Aku yakin ayahku bahagia melihat dari jendela surga 
  
 ",puisi
"Diri adalah darah Terlahir dengan keadaan cacat Tak mampu memberi tawa Hanya mampu memberi luka 
 Jika kalian tau 
 Aku hanyalah ilalang dalam kegelapan 
 Sekeliling tak dapat menerima 
 Karna aku berbeda Dalam setiap goresan Kutuliskan curhatan Dalam setiap keheningan Hanya mampu memberi luka 
 Jika petik dalam gitar 
 Membawa alunan nada di setiap petikan 
 Hanya hasrat yang mendambakan Hanya angin pembawa cerita Hanya sungai pembawa berita Dan hanya api pembakar jiwa 
 Goresan pena adalah curhat 
 Goresan tulis adalah hati Bukan penghapus yang memutihkan 
 Namun jangka pengatur jarak 
 Diri ini bukanlah benalu 
 Namun mengapa semua 
 Mengatakan diri ini benalu 
 Apa karna aku berbeda 
 Entahlah.. Diri adalah sungai Sungai penerjang dalam setiap mimpi Diri memang berbeda Namun diri tak pernah membedakan 
  
 ",puisi
"Terindah hanyalah kamu yang terbaik Di dalam setiap langkah hidupku Dan percayalah cintaku untukmu 
 Haruskan tuk gapai 1000 bintang Di langit Dalam agar kau yakin diriku mencintaimu menyayangimu dan ingin milikimu slamanya 
 Tetaplah tersenyum engkau bidadariku 
 Karena hanya kau penghias malamku Dan saat kau terjebak di gelapnya malam Panggil namaku ku kan datang untukmu 
 Haruskah ku gapai 1000 bintang Di langit Dalam agar kau yakin diriku mencintaimu menyayangimu dan ingin milikimu slamanya 
 Lupakan masalalumu yang tak indah 
 Sambutlah aku yang ada untukmu 
 Dan cepat cepat hapus 
 Hingga cintaku untukmu 
 Dan genggam erat tanganku di saat engkau lelah 
 Tetaplah tersenyum engkau bidadariku 
 Karena hanya kau penghias malamku Dan saat kau terjebak di gelapnya malam Panggil namaku ku kan datang untukmu 
 Panggil namaku ku kan datang untukmu 
  
 -------------------- 
 No. Urut : 6490 
 Tanggal Kirim : 02/12/2012 5:57:26 
  
 ",puisi
"Aku tidak berani menatap waktu 
 Bagaikan pisau yang tajam ke arahku 
 Sungguhan aku tidak menahu.. 
 Apa artinya detik-detik yang memburu 
  
 Kodrat waktu takkan pernah lupa 
 Bergerak selaras tak hilang arahnya 
 Dan begitu banyak di luar sana.. 
 Yang gembira dengan sia-sia 
  
 Padahal detik itu kejam 
 Tajam! 
 Jika aku sekarang tak menggubrisnya, 
 Maka aku hancur! 
 Lebur! 
  
 Ditertawakan detik yang berjalan anggun 
 Mengantarku ke cerita selanjutnya 
 Membawaku ke skenario yang selanjutnya 
 Menuntunku menuju mimpi yang ku angankan 
 Memberitahuku tentang kesedihan 
 Penyesalan.. 
 Kebencian.. 
 Dan kekecewaan 
  
 ",puisi
"Harga Ayam tiba-tiba melambung pula \n Macam-macam alasan kononnya,,, \n Kenangan bersama Ayah sukar dilupa \n Mendidik diri q hingga berjaya,,,, \n ",pantun
Laksamana berbaju besi \n Masuk ke hutan melanda-landa \n Hidup berdiri dengan saksi \n Adat berdiri dengan tanda \n ,pantun
"Wahai dedaunan, 
 Mengapa engkau gugur satu demi satu? 
 Apakah hatimu tertaut pada si cacing tanah? 
 Dimana satu-satunya tempat bertemu adalah di tanah 
 Meskipun itu artinya kau harus mati... 
  
 Wahai rinai, 
 Mengapa kau jatuh satu-satu turun ke bumi? 
 Padahal mentari masih menyeringai garang 
 Apakah kau tahu bahwa aku perlu alasan 
 Untuk mengetuk pintu rumah seseorang 
 Meminta berteduh 
  
 Ataukah kau perlu berjumpa dengan sungai? 
 Untuk melepas kerinduan yang tertahan 
 Sepanjang kemarau 
  
 Ah, aku jatuh cinta padanya 
 Sejuta kupu-kupu sedang mengepakkan sayapnya 
 di dalam hatiku 
 Rasanya tak dapat kukatakan pun kutuliskan 
  
 Aku tak bernyali seperti dedaunan 
 Rela gugur asal bisa bertemu si cacing pujaan hati 
 Aku tak bernyali seperti butir-butir hujan 
 Rela jatuh dari langit demi mengalir bersama sungai 
  
 Aku hanya memandang dan melamun 
  
 ",puisi
Good morning \n Selamat pagi \n Gigi kuning \n Ga pernah gosok gigi \n ,pantun
"Cinta adalah sebuah kekuatan . 
 yang tak bisa di nilaitapi hanya bisa dirasakan... 
 Cinta terkadang seperti daun keringyang mudah hancur dan rapuhcinta juga terkadang seperti besi bajayang kuat dan abadi untuk selamanya 
 Cinta dapat merubah seseorangmenjadi lebih baikkarna cinta, kita dapat merasakan bahagiawalau akhirnya akan menyakitkan 
 Rasakan apa yang bisa di rasakanlupakan yang mungkin bisa dilupakan 
 Hanya cinta yang bisa dan mungkin seperti itu..... 
  
 ",puisi
Langit mendung diatas lautan... \n Lebat hujannya tiada terbendung... \n Gadis berkerudung cantik menawan... \n Kedip matanya rontokan bulu hidung... \n ,pantun
"Mawar tak tersirami... 
 Luka tak terobati... 
 Kering hari hariku... 
 Di sini aku merindu... 
  
 Entah dimana dirimu berada... 
 Aku tak tahu... 
 Jauh... jauh... 
 Entah dimana... 
 Rinduku rinduku padamu... 
  
 Ingin ku titip rinduku... 
 Ingin ku sampaikan salamku... 
 Di sini aku merindu... 
 Disini aku menunggumu... 
  
 ",puisi
Asam kandis asam gelugur \n Ketiga asam si riang-riang \n Menangis mayat di pintu kubur \n Teringat badan tidak sembahyang \n ,pantun
Kemuning daunnya lampai \n Tubuh dijirat paduka tuan \n Diatas dunia kaul tak sampai \n Didalam surga ada penantian \n ,pantun
"Dalam luang waktu ku coba lupakan 
 Sejenak memendam kisah lama yang silam 
 Melihat pelangi yang kini t'lah kelam 
 Gelap gulita dan sunyi mencekam 
 Nampak hadirmu dalam ingatan 
 Terlihat jelas tapi menyakitkan 
 Walau terasa kau ku dambakan 
 Membuat aku dalam kesepian 
 Meski kau ku cinta tapi tak sebaliknya 
 Kau yang ku puja takkan terlupa 
 Seringkali kau nampak senangkan 
 Dan tak jarang kau juga menyakitkan 
 Kerinduan ini membuatku gila 
 Kehilangan dirimu sebuah luka 
 Berangan aku tuk selamanya 
 Hingga mati pun slalu bersama 
 Dan mungkin seandainya nanti 
 Mentari tak bersinar lagi 
 Kau tetap dan s'lalu disisi 
 Menemaniku dalam indahnya surgawi 
  
 ",puisi
"Ketika tahta menguasai jiwa 
 Ketika mimpi tak beralas hati nurani 
 Lirih insan merajut doa 
 Melerai jiwa yang tiba-tiba terasa hampa 
 Terus kurenungi itu dengan akal sehatku 
 Inikah jalan yang engkau rindu 
 Sebuah jalan yang harus kutempuh dan sebuah metafora jalan menuju kekhusukan-Mu 
  
 Tuhan,,, 
 Engkau yang selalu mendengarkanku 
 Engkau yang melihat setiap jejak langkah kakiku 
 Engkau tahu, dalam dzikirku ada seribu sepi menombakku 
 Hingga menembus lapisan langit-langit Mu 
 Membakar gumpalan mega Mu 
 Dan 
 Membongkar pusaran kabut Mu 
  
 Wahai Dzat penggenggam jiwa 
 Aku merindukan-Mu dalam lembaran penghambaanku 
 Sebuah rindu yang tertanam dalam hati 
 Yang terus menggumbar selaksa cinta yang tercurah lewat tetesan air mata 
  
 Tuhan,,, 
 Tak kuasa aku menahan isak tangis, Ketika aku tahu 
 Bahwa sejuta doa dan selalutan air mata takkan sanggup mengantarkanku kepada-Mu 
 Nafas ini terus berjalan bersama musafir kehidupan 
 Tapi, rasa rindu ini takkan pernah tergantikan 
  
 ",puisi
"Langit nan cerah Tengah lengser menuju ke peraduan 
 Bergantilah mega merah 
 Bersinergi dengan mendung kelabu yang berjajar rapi 
 Semua gulita semua rancu 
 Tanah terasa begitu landai 
 Angin pun tiada berhembus 
 Gelap dan gelap kini begitu luas terhampar 
 Semua buta semua terpejam 
 Kering semua oasis kehidupan 
 Kacau balau fikir saling beradu 
 Sayup-sayup jeritan terasa membahana 
 Semua haru semua terpaku Suara Gemuruh bak alunan simfoni ketakutan 
 Derah angin dalam menusuk relungbak selimut hati yang dingin nan membeku 
 Semua senyap semua membatu 
 Kekalutan hati kian memekik, semua tak ber asa 
 Bak matahari yang tertutup awan nan gelap 
 Begitupun akan terjadi dengan mata ini Setiap hari hanya akan ada hujan, hujan, dan hujan. 
  
 ",puisi
Nangka muda digulai lemak \n Buah keranji masak tersangkut \n Harta dunia jangan di tamak \n Kalau mati tak akan mengikut \n ,pantun
"Kau bagai penerang dalam kegelapan 
 Kau memerangi penjajah dengan pengetahuan 
 Ajaranmu tak tergerus oleh zaman 
 Bahkan 
 hari lahirmu dijadikan hari pendidikan 
 Kau mendirikan taman siswasebagai pengabdian bagi Negara 
 Kau adalah putra bangsa 
 Yang kami panggil Ki Hajar Dewantara 
 Namun 
 kini kau tinggal kenangan 
 Semangatmu takkan pernah kulupakan 
 Berterima kasihlah kepada Tuhan 
 Yang telah memberikan seorang Pahlawan 
  
 ",puisi
"Di bilik kamar yang sepi 
 Tak berteman, hanya aku sendiri. 
 Menulis aku 
 Entah itu sajak atau puisi 
  
 Aku lebih suka menyebutnya ungkapan hati 
 Sebab yang kutulis itu dari hati 
 Kupastikan tak ada dusta di setiap kata yang terangkai kalimat cinta. 
 Bagiku tak ada cinta diluar ikatan rumah tangga, titik tak ada tawar menawar 
  
 Tapi untuk kali ini kupikir tak apalah sesekali ku pakai kata cinta 
 Sekedar untuk mengisyaratkan 
 Bahwa sejatinya aku tengah dibuat jatuh hati 
 Berulang kali pada gadis yang sama. 
  
 V 
  
 ",puisi
Habis mandi pergi ke Mushola \n Mushola tempat tuk mengaji \n Guru ikhlas ajari kita \n Bertubi-tubi sampai kita pandai \n ,pantun
Jangan patahkan atap mengkuang \n Atap patah kumbangpun lalu \n Jangan patahkan cakap orang \n Cakap patah orangnya malu \n ,pantun
Kalau keladi sudah ditanam \n Jangan lagi meminta balas \n Kalau budi sudah ditanam \n Jangan lagi meminta balas \n ,pantun
Ikan sepat dimasak berlada \n Kutunggu digulai anak seberang \n Jika tak dapat pada masa muda \n Kutunggu sampai beranak seorang \n ,pantun
"Sahabat . 
 Kini kau tlah pergy jauh meninggal'kan ku sendiri ~,~Kau pergy bersama kenangan yg tlah qt lalui . 
 Sahabat . 
 Sekian lama qt bersama . 
 Suka duka slalu qt jalanin bersama . 
 Ak sedih dan tidak percaya kalo diri mu tlah tiada . 
 Kini ku hanya bisa menangisi dan meratapi kepergian mu dngan sebuah tangisan ~,~Andai kau tau , ak di sini sedih dan menangis . 
 Sahabat . 
 Ku titip rindu ku ini untuk mu .semoga kau mendengar puisi ini . 
 Semoga dsana kau tenang bersama JC :D 
 Puisi ini untuk :El - Daniel ~,~ 
  
 ",puisi
"Entah mengapa aku sering melamun 
 Entah mengapa aku sering gelisah 
 Pikiran Ku entah kemana mana 
 Namun, hanya terjadi, 
  
 Ketika aku merasa bimbang... 
 Ketika aku merasa Lelah... 
 Saat ku bermain dengan sahabat 
 Mata ku selalu terpana... 
 Sedetik kemudian... 
  
 Aku menagis di lamunan 
 Padahal aku tidak bersedih, 
 Padahal kau tidak sakit, 
 Lalu 
 sahabatku memeluk dan bertanya, 
 """"kamu kenapa menagis??"""" 
  
 Tersadar, ku hapus segera airmata ku.. 
 Lalu mereka, bertanya lagi sambil melihatku, 
 """"Kamu kenapa??"""" 
 Ku jawab""""perasaan ini tidak mengatakannya pada ku, meskipun aku yg merasakannya"""" 
  
 Mereka terdiam 
 lalu melihatku seolah olah aku mati..... 
 Sejak itu, aku bertekad untuk mencari perasaan itu! 
 Pada akhirnya 
 aku menyadari... 
 Perasaan itu tidak ada artinya... 
  
 Dan Aku terheran dan bertanya, 
 """"Apa yg kurang dari diriku ini??"""" 
 Tiba tiba, Ilham itu menjawab pertanyaan 
 Ku... 
 Dan rasa itu 
 ku jadikan pedoman.. 
  
 ",puisi
Tante Mayang istrinya jaksa \n Membeli bubur dikasih laksa \n Tidak sembahnyang tidak puasa. \n Di dalam kubur pasti disiksa. \n ,pantun
Hujan gerimis deraslah amat.. \n Ada kilat bertabrakan.. \n Hari kamis malam jumat.. \n Yang mau kumat dipersilahkan \n ,pantun
"Bila tuan muda teruna, \n Pakai seluar dengan gayanya, \n Bila tuan bijak laksana, \n Biji di luar apa buahnya? \n (Jawabannya: Buah Jambu Mete) \n ",pantun
"Why should all my walls 
 Painted by my tears 
 Cause no one can be stand Near to a person who cold as you are 
 And if those ices be who we are 
 You will be the coldest oneI open all my photo albums 
 And no one was watching I was crying and flasback until the snows gone I said something because I want to be the story that you madeI said hello and stand there 
 On the ground 
 And you never answer it 
 You're the coldest 
 Could you greet me, friend? 
 Draw a smile on your face But it will never come 
 Because we will never get along 
 Like those story that I made 
 Last year I just think that we are same 
 But I am the worst 
 You're the coldest thing in my life You said that I should be putted away 
 Just like the coldest story that we made 
 Neglect me and you will walk away someday 
 Like an illusions that I can make it real 
 This is too cold place 
 And you left me there 
 No one can be cold like you are These photos is the answer 
 You never care about me 
 You don't want to see the way I act in these spacesI just see you will be colder 
 Colder and someday you will gone You are the coldest one You're the highest mountainthat I will never stand on the peak 
 Because you're the coldest one 
 And you will never change 
 Although the day begin in your life You're so coldI never know 
  
 -- 
 No. Urut : 5260 
 Tanggal Kirim : 30/10/2014 15:13:38 
  
 ",puisi
"Pilihanku adalah masa depanku 
 Tidak ternilai berapapun usiaku Lautan antartika sudah membeku 
 Mungkin entah kapan dapat bertemu 
 Diantara embun yang jatuh di pagi hari 
 Bagaikan seseorang yang mencari sang mentari 
 Dari ufuk timur kau berlari Cukup satu tujuan yang kau datangi 
 Generasi islam yang percaya diri Dirinya tidak hanya sebagai pemimpi 
 Berjuang dalam menegakkan bendera islami 
 Untuk menjadi generasi yang hakiki 
 Islam adalah pilihanku 
 Cahaya terang di tempat peristirahatanku 
 Muslimah adalah pilihanku 
 Yang dapat menjaga kehormatanku 
  
 ",puisi
"Menek wit pelem ora kudu ahli, \n jalaran duwure ranganti rong meter \n Sugeng riyadi Idul Fitri, \n donga-dinonga kita satya ning dalan bener \n ",pantun
Ke cimanggis membeli kopiah \n Kopiah indah kan kau dapati \n Begitu banyak gadis yang singgah \n Hanya dinda yang memikat hati \n ,pantun
Indah sekali pintu dipahat \n Bergambar daun dan dahan \n Kalau ingin hidup selamat \n Taat selalu perintah tuhan \n ,pantun
"Mentari t'lah lelah mengudara 
 Dilingkar hujan dikala senja 
 Membujuk mesra pita warna 
 Lalu menyulap rindu serupa bunga 
 Yang Kian mekar dihela detik.. 
 Menuntut balas dipicu putik.. 
 Dan berakhir layu.. 
 Merindukanmu.. 
  
 ",puisi
Bila tuan tajuk cendana \n Ambil padi sukatkan padi \n Bila tuan memang bijaksana \n Binatang apa bertanduk di kaki? \n (Jawabnya: Ayam jantan) \n ,pantun
Burung dara terbang melanglang \n Hinggapnya di pucuk pepohonan \n Setiap kali ayah pulang \n Selalu saja banyak makanan \n ,pantun
Berjalan di malam kelam \n Ada baiknya mengajak berteman \n Mengapa pungguk rindukan bulan \n Bunga banyak kembang ditaman \n ,pantun
Pergi tamsya kekota Bogor \n Jangan lupa ke Kebun Raya \n Meski engkau sudah tersohor \n Janganlah lupa ayah ibunda \n ,pantun
"Ya Rabbi… 
 Hidup memang begitu indahnya 
 Penuh dengan warna-warni 
 Keindahan, Kebahagian, kepedihan dan kekecewaan 
 Tapi kenapa warna kepedihan yang selalu menyertaiku 
 Kadang warna keindahan dapat aku rasakan namun hanya sesaat 
 Bagaikan pelangi yang muncul dan perlahan menghilang. 
  
 Ya Rabbi… 
 aku pasrah pada-Mu 
 Jika memang ini sudah takdirku 
 Aku mohon kuatkanlah hatiku 
 Dari segala warna kehidupan 
 Yang kau berikan padaku 
 Sifat Manusia terkadang sulit diterka 
 Namun tolong sadarkanlah 
 Sahabat, teman, kekasih yang berada disekitarku 
 Dan jauhkanlah diriku dari segala tekanan 
 Orang-orang yang menikmati warna kehidupan-Mu. 
  
 Ya Rabbi… 
 Aku mohon dengarkanlah hambamu ini 
 Aku sadar selama ini aku telah jauh dari-Mu 
 Tapi aku tak kuasa dengan warna kehidupan-Mu 
 Yang kau berikan saat ini 
  
 Ya Rabbi… 
 Aku hanya bisa memohon dan memohon pada-Mu 
 Karena diri-Mu lah yang dapat menolong aku. 
 Aku sadar semua warna kehidupan yang aku jalani 
 Semuanya akan berpulang pada-Mu termasuk diriku. 
  
 My Room (20070413) 
 Goresan Hati dalam Puisi 
  
 ",puisi
"Aku ingin meminta waktu kalian untuk tahu tentang keluh-kesahku. 
 Tapi kalian terlalu sibuk mendengarkan omongan para pendusta berdasi. 
 Aku ingin meminta kalian membuatkan taman bermain untukku. 
 Tapi kalian terlalu asyik menikmati bangunan megah. 
 Aku ingin meminta kalian mengajariku membaca. 
 Tapi kalian terlalu serius membaca teori-teori sosial. 
 Aku ingin meminta kalian mengajariku menulis. 
 Tapi kalian terlalu fokus menulis kritikan untuk negeri ini. 
 Aku ingin meminta kalian menjaga kesehatanku. 
 Tapi kalian terlalu sibuk memikirkan bagaimana pola hidup yang sehat. 
 Aku ingin meminta kalian melindungiku dari tindakan kekerasan anak. 
 Tapi kalian terlalu sibuk menata masa depan. 
 Aku ingin meminta kalian mendengarkan harapan-harapanku. 
 Tapi kalian terlalu asyik menyusun harapan naif. 
 Aku ingin meminta kalian bersahabat denganku. 
 Tapi kalian terlalu gengsi untuk terlihat kumuh. 
 Aku ingin meminta kalian peduli terhadapku. 
 Tapi kalian malah memberikan kebencian. 
 Aku ingin mengisyaratkan senyum harapan kepada kalian. 
 Tapi kalian malah risih terhadapku. 
 Aku tak bermaksud mengajak kalian berada di hidupku. 
 Karena hidupku terlalu keras/kejam untuk anak seusiaku. 
 Aku tak mengharapkan belas kasih dari kalian. 
 Aku hanya ingin kalian sadar bahwa aku juga bagian dari generasi masa depan bangsa. 
 Toh, kalau kalian tidak mampu menyadari itu. 
 Aku ingin memohon sesuatu kepada kalian. 
 “Kumohon biarkanlah aku dengan tenang memikul beban gelar ‘anak jalanan’ sambil menikmati pemandangan indah tentang hidup KALIAN. 
  
 ",puisi
"Kuukir pelan pelan 
 Di bawah pohon hijau bertemankan angin 
 Ku kenang kejadian kejadian menakjubkan antara dua insan 
 Bagai air mata hawa3 tahun silam 
 Kau temani aku dengan kisah pahlawan 
 Acapkali kau bacakan sajak kehidupan 
 Ku lihat jauh dalam diriku kekuatan 
 Dalam suatu kejelasan kisah itu akan pergi 
 Meniggalkan jejak dalam sanubari 
 Kini biarlah sejenak kita menepi Pada mimpi sendiri 
 Bukan untuk melarikan diri 
 Melainkan pergi mencari cahaya hatiKawan.. 
 Ini adalah teriakan jiwa 
 Saat kau terhempas diujung jalan berkabut 
 Jika tak ada satupun yang menyambut 
 Maka hentikan saja 
 Jika kau lelah dalam pertarungan 
 Berhentilah Jika kau lelah saat berlabuh 
 Maka berhentilah 
 Jika kau lelah dalam kisah reikarnasi 
 Maka berhentilah 
 Jika kau lelah dengan pilihan yang kelam 
 Maka berhentilah 
 Berhenti untuk bernafas 
 Berhenti untuk mengepakkan sayap 
 Berhenti utk melihat serpihan serpihan cahaya 
 Berhenti untuk menyapa riak ombak 
 Sekali lagi,, 
 Maka tegakkan kepalamu teman 
 menata lagi langkah kakimenyucikan jiwa dan hati 
 Dan Ingat lah Ada aku dan Tuhanmu di sudut sudut jiwamu 
 Sekali lagi aku menjerit 
 Ini bukan akhir dari cerita yang sering aku kisahkan 
  
 ",puisi
"Hei.. 
 apa kabar mentari... 
 apakah hangatmu masih seperti dulu... 
 apakah cahaya mu tlah mulai benderang... 
 apakah kau sudah mulai tersenyum...? Hei.. 
 mentari terima kasih telah mencerahkan jalanku untuk memulai hari ini 
 Hei.. 
 mentaribagaimana hari iniceritakanlah hari yang telah kau lalui Matahari terlihat tersenyum samar kemudian hilang meninggalkan jejak merah di langit senja 
 Dia pergi tanpa menjawab tanyaku.... 
  
 ",puisi
Beli duku di toko latif \n Membelinya bareng si afif \n Cantik itu memang relatif \n Photoshop jadi alternatif \n ,pantun
"sahabatku……… 
 seberat apapun masalahmu 
 sekelam apapun beban hidupmu 
 jangan pernah berlari darinya 
 ataupun bersembunyi 
 agar kau tak akan bertemu dengannya 
 atau agar kau bisa menghindar darinya 
  
 karena sahabat….. 
 seberapa jauhpun kau berlari 
 dan sedalam apapun kau bersembunyi 
 dia pasti akan menemuimu 
 dalam sebuah episode kehidupanmu 
  
 sahabatku…… 
 alangkah indahnya bila kau temui ia dengan dada yang lapang 
 persilahkan ia masuk dalam bersihnya rumah hati 
 dan mengkilapnya lantai nuranimu 
 hadapi ia dengan senyum seterang mentari pagi 
 ajak ia untuk menikmati hangatnya teh kesabaran 
 ditambah sedikit penganan keteguhan 
  
 sahabat……. 
 dengan begitu 
 sepulangnya ia dari rumahmu 
 akan kau dapati 
 dirimu menjadi sosok yang tegar 
 dalam semua keadaan 
 dan kau pun akan mampu dan lebih berani 
 untuk melewati lagi deraan kehidupan 
  
 dan yakinlah sahabat…….. 
 kaupun akan semakin bisa bertahan 
 kala badai cobaan itu menghantam 
  
 ",puisi
"Sepinya mimpi membawaku pergi 
 Hingga lupa untuk kembali 
 Ketika ku terbangun untuk mengejar mimpi 
 Sang mentari terus menyinari 
 Memberikan senyuman untuk hari ini 
 Berjuta keindahan kutemui 
 Namun hati ini selalu ingin kembali 
 Godaan kampung halaman yang selalu mengikuti 
 Kemanapun kaki melangkah 
 Namun mimpi belum terpenuhi 
 Tapi nanti aku kan kembali 
  
 ",puisi
"Andai waktu dapat kembali 
 Andai TUHAN mengizinkan kita bersama 
 Ingin ku katakan 
 Aku tak ingin melepaskan mu 
 Karna kau cinta terindahku 
 Di dalam malam ku yang sepi 
 Berselimut dingin yang setia menemani ku ....... 
 Aku selalu menanti mu 
 Walau kau kian jauh dariku ..... 
 Maafkan bila hadir ku mengganggu pikiranmu 
 Aku hanya ingin bersamamu 
 Aku tak bermaksud menyakitimu 
 Tapi hati ini terlalu ingin memilikimu 
 Jika suatu saat nanti aku pergi ..... 
 Mungkin aku terlalu lelah tuk mengapaimu 
 Kau bagaikan bintang yang terang dilangit 
 Dan aku hanya setitik kegelapan yana setia menanti cahayamu .... 
 Mungkin aku salah telah mencintaimu 
 Namun hati ini begitu sulit tuk melepaskanmu 
 Aku tau kita tak bisa bersatu ....... 
 Tapi mengapa cinta ini tak bisa ku nakhiri ..... 
  
 ",puisi
"Banyak orang yang berbondong bondong mencari kesempurnaanmenempuh berbagai macam cara demi mendapatkannya 
 Namun apa yang kulakukan? 
 Ku hanya berdiam diri melihatnya 
 Kadang ku hanya jadi bagian dari penyemangat mereka 
 Aku tak perlu melakukannya 
 Aku hanya seorang yang sederhana yang hidup apa adanya 
 Ku ingin menjadi diriku sendiri dengan mensyukuri kekurangan dan kelebihanku 
 Menurutku mengejar kesempurnaan hanya berusaha menjadi orang lain 
 Oleh karna itu hargailah kekurangan mu sebelum kelebihanmu jadi salah satu dari kekuranganmu 
 Menjadi diri sendiri itu lebih baik karna itu adalah bentuk syukur kita kepada tuhan sang pencipta 
 Sebenarnya mengejar kesempurnaan itu hak semua orang 
 hanya saja dengan cara jadi dirimu sendiri dan tak perlu jadi orang lain 
  
 ",puisi
"Bunga besar bunga raflesia, \n Bunga kecil bunga melati. \n Cepatlah taubat wahai manusia, \n Jangan menunggu sampai kau mati. \n ",pantun
"Bukan salah ku juga bukan salah mu Hanyalah sebuah takdir keras yang membawa pilu Menyisakan duka terdalam di dalam kalbu Jangan salahkan siapapun dalam kisah itu Tanyakan pada Tuhan Semua takkan berubah tanpa jalan Takkan terhenti oleh zaman Takkan dimengerti oleh kawan Ini hanyalah sebuah cerita picisan sebentar Kisah cinta salah tak terbenar Menjatuhkan titik embun di hati yang tegar Takdirmu, takdirku ingkar 
  
 --- 
 No. Urut : 5422 
 Tanggal Kirim : 10/11/2014 13:43:04 
  
 ",puisi
"Di tempat ini aku terdiam sejenak 
 memikirkan kau yang menganggapku tak ada 
 ku tau aku hanya wanita yang membawa kesialan bagimu 
 ku tau ku tak pernah berarti dimatamu 
 aku hanya sampah yang tak berguna 
  
 meski kau acuhkanku 
 dan tak menganggapku 
 1 yang harus kau ingat aku akn tetap setia untukmu 
 karenaku tak mau mengkhianati janjiku untukmu 
 bukan aku mengemis cintamu aku cuma ingin setia untukmu 
 1 heart forever to you 
  
 ",puisi
